Month,GS3M,GS6M
1984-01-01,9.26,9.56
1984-02-01,9.46,9.77
1984-03-01,9.89,10.27
1984-04-01,10.07,10.47
1984-05-01,10.22,11.02
1984-06-01,10.26,11.24
1984-07-01,10.53,11.27
1984-08-01,10.90,11.37
1984-09-01,10.80,11.19
1984-10-01,10.12,10.52
1984-11-01,8.92,9.34
1984-12-01,8.34,8.76
1985-01-01,8.02,8.45
1985-02-01,8.56,8.87
1985-03-01,8.83,9.45
1985-04-01,8.22,8.71
1985-05-01,7.73,8.07
1985-06-01,7.18,7.46
1985-07-01,7.32,7.57
1985-08-01,7.37,7.71
1985-09-01,7.33,7.64
1985-10-01,7.40,7.71
1985-11-01,7.48,7.68
1985-12-01,7.33,7.50
1986-01-01,7.30,7.53
1986-02-01,7.29,7.47
1986-03-01,6.76,6.89
1986-04-01,6.24,6.36
1986-05-01,6.33,6.47
1986-06-01,6.40,6.56
1986-07-01,6.00,6.12
1986-08-01,5.69,5.79
1986-09-01,5.35,5.57
1986-10-01,5.32,5.48
1986-11-01,5.50,5.64
1986-12-01,5.68,5.78
1987-01-01,5.58,5.67
1987-02-01,5.75,5.83
1987-03-01,5.77,5.86
1987-04-01,5.82,6.19
1987-05-01,5.85,6.35
1987-06-01,5.85,6.28
1987-07-01,5.88,6.05
1987-08-01,6.23,6.46
1987-09-01,6.62,6.99
1987-10-01,6.35,7.04
1987-11-01,5.89,6.50
1987-12-01,5.96,6.68
1988-01-01,6.00,6.56
1988-02-01,5.84,6.21
1988-03-01,5.87,6.18
1988-04-01,6.08,6.50
1988-05-01,6.45,6.89
1988-06-01,6.66,7.04
1988-07-01,6.95,7.35
1988-08-01,7.30,7.79
1988-09-01,7.48,7.82
1988-10-01,7.60,7.90
1988-11-01,8.03,8.30
1988-12-01,8.35,8.70
1989-01-01,8.56,8.85
1989-02-01,8.84,9.05
1989-03-01,9.14,9.39
1989-04-01,8.96,9.17
1989-05-01,8.74,8.91
1989-06-01,8.43,8.38
1989-07-01,8.15,8.01
1989-08-01,8.17,8.17
1989-09-01,8.01,8.16
1989-10-01,7.90,8.03
1989-11-01,7.94,7.89
1989-12-01,7.88,7.81
1990-01-01,7.90,7.96
1990-02-01,8.00,8.12
1990-03-01,8.17,8.28
1990-04-01,8.04,8.27
1990-05-01,8.01,8.19
1990-06-01,7.99,8.05
1990-07-01,7.87,7.92
1990-08-01,7.69,7.77
1990-09-01,7.60,7.70
1990-10-01,7.40,7.53
1990-11-01,7.29,7.39
1990-12-01,6.95,7.03
1991-01-01,6.41,6.58
1991-02-01,6.12,6.19
1991-03-01,6.09,6.20
1991-04-01,5.83,5.98
1991-05-01,5.63,5.87
1991-06-01,5.75,6.02
1991-07-01,5.75,5.97
1991-08-01,5.50,5.63
1991-09-01,5.37,5.48
1991-10-01,5.14,5.26
1991-11-01,4.69,4.80
1991-12-01,4.18,4.26
1992-01-01,3.91,4.01
1992-02-01,3.95,4.08
1992-03-01,4.14,4.33
1992-04-01,3.84,4.00
1992-05-01,3.72,3.88
1992-06-01,3.75,3.90
1992-07-01,3.28,3.38
1992-08-01,3.20,3.31
1992-09-01,2.97,3.04
1992-10-01,2.93,3.13
1992-11-01,3.21,3.44
1992-12-01,3.29,3.47
1993-01-01,3.07,3.24
1993-02-01,2.99,3.16
1993-03-01,3.01,3.15
1993-04-01,2.93,3.06
1993-05-01,3.03,3.17
1993-06-01,3.14,3.29
1993-07-01,3.11,3.26
1993-08-01,3.09,3.24
1993-09-01,3.01,3.15
1993-10-01,3.09,3.22
1993-11-01,3.18,3.36
1993-12-01,3.13,3.34
1994-01-01,3.04,3.25
1994-02-01,3.33,3.53
1994-03-01,3.59,3.92
1994-04-01,3.78,4.25
1994-05-01,4.27,4.79
1994-06-01,4.25,4.72
1994-07-01,4.46,4.95
1994-08-01,4.61,5.08
1994-09-01,4.75,5.24
1994-10-01,5.10,5.62
1994-11-01,5.45,5.98
1994-12-01,5.76,6.50
1995-01-01,5.90,6.51
1995-02-01,5.94,6.31
1995-03-01,5.91,6.17
1995-04-01,5.84,6.05
1995-05-01,5.85,5.93
1995-06-01,5.64,5.66
1995-07-01,5.59,5.62
1995-08-01,5.57,5.65
1995-09-01,5.43,5.54
1995-10-01,5.44,5.56
1995-11-01,5.52,5.51
1995-12-01,5.29,5.35
1996-01-01,5.15,5.13
1996-02-01,4.96,4.97
1996-03-01,5.10,5.16
1996-04-01,5.09,5.27
1996-05-01,5.15,5.33
1996-06-01,5.23,5.46
1996-07-01,5.30,5.52
1996-08-01,5.19,5.34
1996-09-01,5.24,5.45
1996-10-01,5.12,5.32
1996-11-01,5.17,5.27
1996-12-01,5.04,5.24
1997-01-01,5.17,5.31
1997-02-01,5.14,5.27
1997-03-01,5.28,5.48
1997-04-01,5.30,5.60
1997-05-01,5.20,5.53
1997-06-01,5.07,5.34
1997-07-01,5.19,5.33
1997-08-01,5.28,5.40
1997-09-01,5.08,5.30
1997-10-01,5.11,5.30
1997-11-01,5.28,5.38
1997-12-01,5.30,5.45
1998-01-01,5.18,5.23
1998-02-01,5.23,5.27
1998-03-01,5.16,5.25
1998-04-01,5.08,5.26
1998-05-01,5.14,5.36
1998-06-01,5.12,5.32
1998-07-01,5.09,5.23
1998-08-01,5.04,5.15
1998-09-01,4.74,4.81
1998-10-01,4.07,4.20
1998-11-01,4.53,4.59
1998-12-01,4.50,4.57
1999-01-01,4.45,4.49
1999-02-01,4.56,4.61
1999-03-01,4.57,4.65
1999-04-01,4.41,4.54
1999-05-01,4.63,4.75
1999-06-01,4.72,5.03
1999-07-01,4.69,4.75
1999-08-01,4.87,5.09
1999-09-01,4.82,5.08
1999-10-01,5.02,5.20
1999-11-01,5.23,5.43
1999-12-01,5.36,5.68
2000-01-01,5.50,5.76
2000-02-01,5.73,6.00
2000-03-01,5.86,6.11
2000-04-01,5.82,6.07
2000-05-01,5.99,6.39
2000-06-01,5.86,6.24
2000-07-01,6.14,6.27
2000-08-01,6.28,6.35
2000-09-01,6.18,6.25
2000-10-01,6.29,6.32
2000-11-01,6.36,6.34
2000-12-01,5.94,5.92
2001-01-01,5.29,5.15
2001-02-01,5.01,4.89
2001-03-01,4.54,4.44
2001-04-01,3.97,3.99
2001-05-01,3.70,3.74
2001-06-01,3.57,3.56
2001-07-01,3.59,3.56
2001-08-01,3.44,3.39
2001-09-01,2.69,2.71
2001-10-01,2.20,2.17
2001-11-01,1.91,1.92
2001-12-01,1.72,1.82
2002-01-01,1.68,1.77
2002-02-01,1.76,1.86
2002-03-01,1.83,2.06
2002-04-01,1.75,1.98
2002-05-01,1.76,1.91
2002-06-01,1.73,1.83
2002-07-01,1.71,1.74
2002-08-01,1.65,1.64
2002-09-01,1.66,1.64
2002-10-01,1.61,1.59
2002-11-01,1.25,1.30
2002-12-01,1.21,1.27
2003-01-01,1.19,1.22
2003-02-01,1.19,1.20
2003-03-01,1.15,1.16
2003-04-01,1.15,1.17
2003-05-01,1.09,1.11
2003-06-01,0.94,0.94
2003-07-01,0.92,0.97
2003-08-01,0.97,1.05
2003-09-01,0.96,1.03
2003-10-01,0.94,1.02
2003-11-01,0.95,1.04
2003-12-01,0.91,1.01
2004-01-01,0.90,0.99
2004-02-01,0.94,1.01
2004-03-01,0.95,1.01
2004-04-01,0.96,1.11
2004-05-01,1.04,1.33
2004-06-01,1.29,1.64
2004-07-01,1.36,1.70
2004-08-01,1.50,1.76
2004-09-01,1.68,1.91
2004-10-01,1.79,2.05
2004-11-01,2.11,2.32
2004-12-01,2.22,2.50
2005-01-01,2.37,2.68
2005-02-01,2.58,2.85
2005-03-01,2.80,3.09
2005-04-01,2.84,3.14
2005-05-01,2.90,3.17
2005-06-01,3.04,3.22
2005-07-01,3.29,3.53
2005-08-01,3.52,3.78
2005-09-01,3.49,3.79
2005-10-01,3.79,4.13
2005-11-01,3.97,4.30
2005-12-01,3.97,4.33
2006-01-01,4.34,4.47
2006-02-01,4.54,4.69
2006-03-01,4.63,4.79
2006-04-01,4.72,4.90
2006-05-01,4.84,5.01
2006-06-01,4.92,5.17
2006-07-01,5.08,5.27
2006-08-01,5.09,5.17
2006-09-01,4.93,5.08
2006-10-01,5.05,5.12
2006-11-01,5.07,5.15
2006-12-01,4.97,5.07
2007-01-01,5.11,5.15
2007-02-01,5.16,5.16
2007-03-01,5.08,5.10
2007-04-01,5.01,5.07
2007-05-01,4.87,4.98
2007-06-01,4.74,4.95
2007-07-01,4.96,5.04
2007-08-01,4.32,4.55
2007-09-01,3.99,4.20
2007-10-01,4.00,4.16
2007-11-01,3.35,3.58
2007-12-01,3.07,3.34
2008-01-01,2.82,2.84
